Model,Horizon,MAE,RMSE,MAPE
LightGBM,24,206.75386172673765,473.44958251524366,1.5782435660101588
TCN,24,2201.1948939581307,2772.976523408053,23.61364691963644
TFT,24,2225.395151302252,2800.7535776288364,23.877600562173214
Informer,24,11221.776170080939,11421.144356125873,99.89099830702092
