datetime,actual,predicted
2025-06-17 13:00:00,,13059.693615920703
2025-06-17 14:00:00,,12923.178202063133
2025-06-17 15:00:00,,12923.178202063133
2025-06-17 16:00:00,,12928.407635550222
2025-06-17 17:00:00,,12928.13263214955
2025-06-17 18:00:00,,12949.412883050112
2025-06-17 19:00:00,,12945.203370420088
2025-06-17 20:00:00,,12945.203370420088
2025-06-17 21:00:00,,12945.203370420088
2025-06-17 22:00:00,,12931.196052133912
2025-06-17 23:00:00,,12931.196052133912
2025-06-18 00:00:00,,12917.933430558955
2025-06-18 01:00:00,,12917.933430558955
2025-06-18 02:00:00,,12917.933430558955
2025-06-18 03:00:00,,12926.711315358041
2025-06-18 04:00:00,,12926.711315358041
2025-06-18 05:00:00,,12926.711315358041
2025-06-18 06:00:00,,12926.466376574137
2025-06-18 07:00:00,,12926.466376574137
2025-06-18 08:00:00,,12926.466376574137
2025-06-18 09:00:00,,12926.466376574137
2025-06-18 10:00:00,,12926.466376574137
2025-06-18 11:00:00,,12926.466376574137
2025-06-18 12:00:00,,12926.466376574137
